id,name,address1,address2,city,state,country,zip,ride_id,created_at,updated_at
1,San Francisco,,,San Francisco,,,,,52:37.1,52:37.1
2,San Jose,,,San Jose,,,,,52:37.1,52:37.1
3,Berkeley,,,Berkeley,,,,,52:37.1,52:37.1
4,Oakland,,,Oakland,,,,,52:37.1,52:37.1
5,Castro Valley,,,Castro Valley,,,,,52:37.1,52:37.1
6,Fremont,,,Fremont,,,,,52:37.1,52:37.1
7,Lamorinda,,,Lamorinda,,,,,52:37.1,52:37.1
8,San Ramon,,,San Ramon,,,,,52:37.1,52:37.1
9,Walnut Creek,,,Walnut Creek,,,,,52:37.1,52:37.1
10,San Mateo,,,San Mateo,,,,,52:37.2,52:37.2
11,San Francisco,,,San Francisco,,,,,55:37.2,55:37.2
12,San Jose,,,San Jose,,,,,55:37.2,55:37.2
13,Berkeley,,,Berkeley,,,,,55:37.2,55:37.2
14,Oakland,,,Oakland,,,,,55:37.2,55:37.2
15,Castro Valley,,,Castro Valley,,,,,55:37.2,55:37.2
16,Fremont,,,Fremont,,,,,55:37.2,55:37.2
17,Lamorinda,,,Lamorinda,,,,,55:37.2,55:37.2
18,San Ramon,,,San Ramon,,,,,55:37.2,55:37.2
19,Walnut Creek,,,Walnut Creek,,,,,55:37.2,55:37.2
20,San Mateo,,,San Mateo,,,,,55:37.2,55:37.2
