id,name,address1,address2,city,state,country,zip,created_at,updated_at,group,google_helper
1,(JFK) John F. Kennedy,,,(JFK) John F. Kennedy,,,,52:37.1,52:37.1,A,
2,(LGA) LaGuardia,,,(LGA) LaGuardia,,,,52:37.1,52:37.1,A,
3,(EWR) Newark,,,(EWR) Newark,,,,52:37.1,52:37.1,A,
4,Battery Park/Financial District,,,Battery Park/Financial District,,,,52:37.1,52:37.1,B,nyc
5,Chelsea,,,Chelsea,,,,52:37.1,52:37.1,B,nyc
6,East Village,,,East Village,,,,52:37.1,52:37.1,B,nyc
7,Garment District,,,Garment District,,,,52:37.1,52:37.1,B,nyc
8,Gramercy/Flatiron,,,Gramercy/Flatiron,,,,52:37.1,52:37.1,B,nyc
9,Greenwich Village,,,Greenwich Village,,,,52:37.1,52:37.1,B,nyc
10,Little Italy/Chinatown,,,Little Italy/Chinatown,,,,52:37.1,52:37.1,B,nyc
11,Lower East Side,,,Lower East Side,,,,52:37.1,52:37.1,B,nyc
12,Meat Packing District,,,Meat Packing District,,,,52:37.1,52:37.1,B,10014
13,Midtown East,,,Midtown East,,,,52:37.2,52:37.2,B,nyc
14,Midtown West,,,Midtown West,,,,55:37.2,55:37.2,B,nyc
15,Murray Hill,,,Murray Hill,,,,55:37.2,55:37.2,B,nyc
16,Soho/Nolita,,,Soho/Nolita,,,,55:37.2,55:37.2,B,nyc
17,TriBeCa,,,TriBeCa,,,,55:37.2,55:37.2,B,nyc
18,Upper East Side,,,Upper East Side,,,,55:37.2,55:37.2,B,nyc
19,Upper West Side,,,Upper West Side,,,,55:37.2,55:37.2,B,nyc
20,West Village,,,West Village,,,,55:37.2,55:37.2,B,nyc
21,Brooklyn,,,Brooklyn,,,,55:37.2,55:37.2,B,nyc
22,Queens,,,Queens,,,,55:37.2,55:37.2,B,nyc
